Page Title,Pages,Page Views
Visão Geral,Visão Geral do Layout da Plataforma,No Page Views
Como configurar alertas no Slack,,305
Como configurar alertas no Telegram,,398
Como configurar alertas via webhook,,244
Métricas disponíveis,"Execuções de pipeline, Execuções de pipeline em andamento, Execuções de pipeline por instância, Mensagens em fila de um pipeline, Tamanho da mensagem do pipeline, Tempo de resposta do pipeline, Uso de memória do pipeline",184
Execuções de pipeline,,162
Execuções de pipeline em andamento,,163
Execuções de pipeline por instância,,268
Mensagens em fila de um pipeline,,274
Tamanho da mensagem do pipeline,,128
Tempo de resposta do pipeline,,168
Uso de memória do pipeline,,162
Boas práticas sobre alertas,,168
API de métricas de pipeline,"Como configurar API de métricas Digibee com Datadog, Como configurar API de métricas Digibee com Prometheus",284
Como configurar API de métricas Digibee com Datadog,,543
Como configurar API de métricas Digibee com Prometheus,,318
Visão geral,,54
Zero Trust Network Access (ZTNA),"Pré-requisitos para usar o ZTNA, Como visualizar conexões (Edge Routers), Como visualizar Network Mappings associados com um Edge Router, Como adicionar novas conexões em ZTNA (Edge Routers), Como deletar conexões em ZTNA (Edge Routers), Como visualizar rotas (Network mapping), Como adicionar novas rotas (Network Mapping), Como adicionar rotas em lote para ZTNA, Como editar rotas (Network Mapping), Como deletar rotas (Network Mapping), Como gerar novas chaves (Edge Router), Como mudar o ambiente dos Edge Routers",342
Pré-requisitos para usar o ZTNA,,55
Como visualizar conexões (Edge Routers),,43
Como adicionar novas conexões em ZTNA (Edge Routers),,58
Como deletar conexões em ZTNA (Edge Routers),,33
Como visualizar rotas (Network mapping),,34
Como adicionar novas rotas (Network Mapping),,44
Como editar rotas (Network Mapping),,21
Como deletar rotas (Network Mapping),,26
Como gerar novas chaves (Edge Router),,25
Como mudar o ambiente dos Edge Routers,,15
Virtual Private Network (VPN),,32
Auditoria,,389
Autenticação e autorização de usuários,"Como habilitar e desabilitar a autenticação de dois fatores, Fluxo de login",258
Como habilitar e desabilitar a autenticação de dois fatores,,291
Fluxo de login,Como resolver problemas para fazer o login na Digibee Integration Platform,646
Como resolver problemas para fazer o login na Digibee Integration Platform,,323
Controle de acesso,"Usuários, Grupos, Papéis",383
Usuários,,362
Grupos,,192
Papéis,Lista de permissões por serviço,431
Lista de permissões por serviço,,102
Integração com provedores de identidades,"Como integrar um provedor de identidade, Regras de autenticação, Integração de grupos IdP com grupos Digibee",576
Como integrar um provedor de identidade,,454
Regras de autenticação,,319
Integração de grupos IdP com grupos Digibee,"Como criar uma integração de grupo, Como testar uma integração de grupo, Como habilitar uma integração de grupo, Como editar uma integração de grupo, Como remover uma integração de grupo",289
Como criar uma integração de grupo,,221
Como testar uma integração de grupo,,234
Como habilitar uma integração de grupo,,186
Como editar uma integração de grupo,,187
Como remover uma integração de grupo,,173
Globals,"Como criar Globals, Como editar ou excluir Globals, Como usar Globals",541
Como criar Globals,,207
Como editar ou excluir Globals,,110
Como usar Globals,,241
Contas (Accounts),"Configurando cada tipo de conta, Monitore alterações nas configurações da conta em pipelines implantados, Nova Arquitetura OAuth2, Configurando Account Dropbox",1005
Configurando cada tipo de conta,,654
Monitore alterações nas configurações da conta em pipelines implantados,,251
Nova Arquitetura OAuth2,Cadastro de novos provedores OAuth,456
Cadastro de novos provedores OAuth,,260
Configurando Account Dropbox,,157
Consumers (Chaves de API),,694
Modelos de Relacionamento,,174
Multi-Instância,Implantando um pipeline de multi-instância,391
Implantando um pipeline de multi-instância,,227
Políticas,"Segurança, Transformação",238
Segurança,"Política de acesso à APIs internas, Política de acesso à APIs externas, Política de campos sensíveis",93
Política de acesso à APIs internas,,142
Política de acesso à APIs externas,,217
Política de campos sensíveis,,170
Transformação,"Cabeçalho HTTP personalizado, Cabeçalho HTTP CORS",134
Cabeçalho HTTP personalizado,,170
Cabeçalho HTTP CORS,,127
Modelos de licenciamento,,580
Capacidade e cotas,,600
Consumo de licenças,,289
Digibee APIs,Como criar credenciais de API,214
Como criar credenciais de API,,165
Digibeectl,"Comece a usar, Digibeectl sintaxe, Operações do Digibeectl",106
Comece a usar,Como instalar o Digibeectl no Windows,42
Como instalar o Digibeectl no Windows,,61
Digibeectl sintaxe,,59
Operações do Digibeectl,,124
Pipeline Engine,"Digibee Integration Platform Pipeline Engine v2, Suporte a Credenciais Dinâmicas (Beta Restrito)",125
Digibee Integration Platform Pipeline Engine v2,,39
Suporte a Credenciais Dinâmicas (Beta Restrito),,39
Requisitos de sistema,,26
Sistema de URLs,,93
Bancos de dados suportados,,88
SaaS dedicado na Digibee Integration Platform,"Arquitetura da Digibee Integration Platform no modelo Saas dedicado, Requisitos para o modelo SaaS dedicado da Digibee, Site-to-Site VPN para suporte de clientes SaaS dedicado, Responsabilidades dos cliente Saas dedicado, Política de Imagens dos Nodes Kubernetes Customizados, Instalação do Digibee Dedicated SaaS no AWS",68
Arquitetura da Digibee Integration Platform no modelo Saas dedicado,,76
Requisitos para o modelo SaaS dedicado da Digibee,,30
Site-to-Site VPN para suporte de clientes SaaS dedicado,,62
Responsabilidades dos cliente Saas dedicado,,24
Política de Imagens dos Nodes Kubernetes Customizados,,35
Instalação do Digibee Dedicated SaaS no AWS,"Como instalar os requisitos antes da instalação da Digibee Integration Platform no EKS, Permissões para usar a Digibee Integration Platform no EKS, Como criar nós customizados para EKS (Golden Images)",42
Como instalar os requisitos antes da instalação da Digibee Integration Platform no EKS,,24
Permissões para usar a Digibee Integration Platform no EKS,,26
Como criar nós customizados para EKS (Golden Images),,36
Como executar a limpeza de cache da Digibee Integration Platform,,150
Orientações para integrações,"Como resolver o Erro 409: “You cannot update a pipeline that is not on draft mode”, Como resolver o erro ""Pipeline execution was aborted"", Boas práticas ao validar mensagens em um pipeline consumer, Autenticação integrada com o Microsoft Entra ID",8
Comportamento e configuração de conectores,"Implementação do Digibee JWT, Timeout no conector Pipeline Executor, Como usar DISTINCT e COUNT no Object Store",7
Dicas de acesso e desempenho da Plataforma,Como receber atualizações da Status Page da Digibee,8
Orientações sobre governança e solução de problemas,"Como consumir pipelines com Internal API usando ZTNA, Como gerar, converter e cadastrar SSH Keys, Como configurar o mTLS na Digibee Integration Platform, Perguntas frequentes: Certificados no mTLS",12
Perguntas frequentes: Suporte ao Cliente Digibee,,17
Autenticação integrada com o Microsoft Entra ID,,12
Como usar DISTINCT e COUNT no Object Store,,16
Como consumir pipelines com Internal API usando ZTNA,,14
"Como gerar, converter e cadastrar SSH Keys",,12
Como configurar o mTLS na Digibee Integration Platform,,10
Perguntas frequentes: Certificados no mTLS,,8
Artigos para solução de problemas,,26
Como receber atualizações da Status Page da Digibee,,7
Implementação do Digibee JWT,,8
"Como resolver o erro ""Pipeline execution was aborted""",,13
Como resolver o Erro 409: “You cannot update a pipeline that is not on draft mode”,,10
Timeout no conector Pipeline Executor,,15
Suporte ao cliente Digibee,"Como gerenciar o acesso ao suporte no seu realm, Como usar a Inteligência Artificial do Suporte ao cliente",518
Como gerenciar o acesso ao suporte no seu realm,,351
Como usar a Inteligência Artificial do Suporte ao cliente,,15
